"Priority","ID","Pattern_ID","Conditions","Impact","Classification","WCAG_SC","WCAG_Level","WCAG_Name","Suggested_Issue_Tags","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"33","DRUPAL-A11Y-033","DRU-5867174A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet | admin::light::desktop | admin::light::mobile | admin::light::mobile-landscape | admin::light::tablet","serious","WCAG failure","2.5.8","AA","Target Size (Minimum)","Accessibility, wcag258","target-size","41","3%","YES","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid10""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-5EA78166; INS-6661B13A; INS-E3BB0789; INS-CABE351F; INS-CB7A867F; INS-5303CF1E; INS-256A1DCD; INS-A85FEA1C; INS-9DE07E17; INS-4BF19DC3; INS-675340D9; INS-8B385950; INS-37A1465E; INS-DBAD0C17; INS-C3FD05EC; INS-75DE19A1; INS-4AAAE68C; INS-08F6917E; INS-5EE3416E; INS-31BA23CE; INS-C3897292; INS-26E6A9F6; INS-DA5438E5; INS-C7BDAF7E; INS-2A4BAF67; INS-806C2D17; INS-9DB78225; INS-BDCD5A4F; INS-CF90C839; INS-2BDB5009; INS-824CC67E; INS-53F5A2B3; INS-118F6D40; INS-9AF09B72; INS-6DDE1DAB; INS-35EE5F38; INS-8DA8635A; INS-446E4C9F; INS-18702AC0; INS-389F5609; INS-82F651E4","/tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag"
"34","DRUPAL-A11Y-034","DRU-33BE632E","admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet | admin::light::desktop | admin::light::mobile | admin::light::mobile-landscape | admin::light::tablet","serious","WCAG failure","2.5.8","AA","Target Size (Minimum)","Accessibility, wcag258","target-size","38","3%","YES","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid10-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-0121A853; INS-BBF155EA; INS-ED4D799D; INS-8AD67582; INS-EF5572E4; INS-7FBA5663; INS-31C28646; INS-341ADCB1; INS-FE5445DB; INS-6DFD6F52; INS-6C9642BC; INS-A618F725; INS-18EB4A26; INS-C259D101; INS-A649312F; INS-00B24FE4; INS-36D2EA26; INS-94D6A7D0; INS-1780F0FF; INS-0A7B7C4F; INS-3D208FF7; INS-ADE19778; INS-55D3D92D; INS-0EA0F2E0; INS-76193C5B; INS-75EB2489; INS-2C7866F0; INS-3DC5CFBD; INS-EB6C0606; INS-3B8B3D61; INS-9135D088; INS-87085798; INS-392F4187; INS-91852888; INS-C0ED3656; INS-E4697A0E; INS-CEAF3BD5; INS-6F7D6151","/tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag"
"35","DRUPAL-A11Y-035","DRU-EE5E2CD9","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","3","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--system-admin-config > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-F1B9C2A1; INS-C1D87390; INS-3DFA8277","/admin/config/content/formats; /admin/config/system/site-information; /admin/config"
"36","DRUPAL-A11Y-036","DRU-C173AC22","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--navigation-create > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-0B689871; INS-A779AB7D; INS-D302E18A; INS-339EAFE5","/node/add/article; /node/add/cd; /node/add/page; /admin/content"
"37","DRUPAL-A11Y-037","DRU-D377125E","admin::light::mobile-landscape | admin::light::tablet","serious","WCAG failure","1.4.1","A","Use of Color","Accessibility, wcag141","link-in-text-block","2","0%","no","link-in-text-block: Ensure links are distinguished from surrounding text in a way that does not rely","#edit-imagefile-file-limited-dis-N > .form-managed-file__main > .file.file--mime-text-plain.file--text > .menu-item__link[type=""text/plain""]","menu.html.twig","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/link-in-text-block?application=playwright","INS-451C3738; INS-4E969BBC","/contact/imagefile_file; /contact/imagefile_file"
"38","DRUPAL-A11Y-038","DRU-4A814D8B","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--system-themes-page > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-B8136ED2","/admin/appearance"
"39","DRUPAL-A11Y-039","DRU-AFF8AF72","admin-accent-yellow::light::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-actions-submit","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-BC44916A","/admin/config/content/formats/manage/restricted_html"
"40","DRUPAL-A11Y-040","DRU-5C776A57","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--form-style-form > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-F201A5C3","/admin/form_style"
"41","DRUPAL-A11Y-041","DRU-593DE53E","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--system-modules-list > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-8B00DF90","/admin/modules"
"42","DRUPAL-A11Y-042","DRU-F30C5DE6","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--entity-user-collection > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-EFE0CA03","/admin/people"
"43","DRUPAL-A11Y-043","DRU-8A39EE9E","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--system-admin-reports > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-BB1C1DBE","/admin/reports"
"44","DRUPAL-A11Y-044","DRU-83A30AC0","admin-accent-yellow::light::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-save-continue","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-FDE3BFF7","/admin/structure/types/add"
"45","DRUPAL-A11Y-045","DRU-5F4C262C","admin::light::mobile","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-submission""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-3BAA4A64","/admin/structure/types/add"
"46","DRUPAL-A11Y-046","DRU-39203797","admin::light::mobile","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-workflow""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-F21DC83A","/admin/structure/types/add"
"47","DRUPAL-A11Y-047","DRU-2E1DDC9D","admin::light::mobile","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-language""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-90B50CDE","/admin/structure/types/add"
"48","DRUPAL-A11Y-048","DRU-92165602","admin::light::mobile","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-display""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-F7856501","/admin/structure/types/add"
"49","DRUPAL-A11Y-049","DRU-DA7603D7","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-danger--N","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-7DC70FE7; INS-92F03543","/buttons; /buttons"
"50","DRUPAL-A11Y-050","DRU-C309868C","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-checkbox-hidden-label-disabled-value--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-AD06E5EC","/contact/checkbox_radio"
"51","DRUPAL-A11Y-051","DRU-F4FDF091","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-checkbox-disabled-value--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-7F2CFEDA","/contact/checkbox_radio"
"52","DRUPAL-A11Y-052","DRU-21AECF5A","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-multitext-unlimited-disabled--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-52216A4F; INS-304F7A3A","/contact/field_cardinality_test; /contact/field_cardinality_test"
"53","DRUPAL-A11Y-053","DRU-8A9D517F","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-multitext-unlimited-required-dis--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-4B69812A; INS-0071DD6E","/contact/field_cardinality_test; /contact/field_cardinality_test"
"54","DRUPAL-A11Y-054","DRU-0460FE2F","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","6","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-dis-N--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-83046A5E; INS-781AAF83; INS-E5115C38; INS-F5CCEC76; INS-6BFFEB30; INS-5F57CDB9","/contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_image"
"55","DRUPAL-A11Y-055","DRU-B1649AF3","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","3","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-req-N > .form-managed-file__main > .file.file--mime-text-plain.file--text > .file__size","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-74894675; INS-774C7035; INS-6F6FA2BB","/contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file"
"56","DRUPAL-A11Y-056","DRU-313AC57D","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-req-dis-N-description--description","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-EB57BAEF","/contact/imagefile_file"
"57","DRUPAL-A11Y-057","DRU-CD3435B9","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-req-dis-N--description > em","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-A7F55A99; INS-B8203DA3; INS-C36861CB; INS-F0AFA040","/contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_image; /contact/imagefile_image"
"58","DRUPAL-A11Y-058","DRU-B863238B","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-plain-dis-N > .form-managed-file__main > .file.file--mime-text-plain.file--text > .file__size","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-19CD0F8F","/contact/imagefile_file"
"59","DRUPAL-A11Y-059","DRU-9A5E66BD","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-multi-dis > .gin-details__wrapper.details-wrapper > .gin-details__description.is-disabled","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-CB97C3FA; INS-BEB161C4; INS-67421360; INS-C9078B1D","/contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_image"
"60","DRUPAL-A11Y-060","DRU-232E0E39","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","2","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-limited-dis > .gin-details__wrapper.details-wrapper > .gin-details__description.is-disabled > em","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-9E662893; INS-C1102271","/contact/imagefile_file; /contact/imagefile_image"
"61","DRUPAL-A11Y-061","DRU-D6DB45E2","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-imagefile-file-limited-dis-N > .form-managed-file__main > .file.file--mime-text-plain.file--text > .menu-item__link[type=""text/plain""]","menu.html.twig","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-8B030A1D","/contact/imagefile_file"
